field,s2-Residue Management (No-Till)(329),s2-Cover Crop(340),s2-Nutrient Management(590),s2-Constructed Wetland(656),s2-All CPS
scenario,2,2,2,2,2
cps,329,340,590,656,0
cps_name,Residue Management (No-Till),Cover Crop,Nutrient Management,Constructed Wetland,All CPS
bmp_count,473,209,310,8,1000
failures_count,118,46,76,2,242
treated_TN_count,473,209,310,8,1000
treated_TN_mean,662.8970357077822,588.9401662088183,637.6764690782139,168.31094140591318,635.6649855729177
treated_TN_std,1138.9376492694198,843.4839493400232,1029.8302868461594,210.34275734352167,1044.950051880522
treated_TN_min,0.09741349221730725,0.31576906018995166,0.07296849681665096,7.800607746044686,0.07296849681665096
treated_TN_p25,175.52524068564017,147.1495146355816,141.212058768703,35.190924134944666,154.75587173887067
treated_TN_p50,357.95073056870274,299.7755519097909,314.7619997370132,83.16281831482544,332.0678298837987
treated_TN_p75,742.0269067472892,678.1486111960488,673.6439150883512,187.52424043542806,709.8686497654267
treated_TN_max,14666.569304914041,7101.873807940909,7470.907610886256,561.6706557062796,14666.569304914041
removed_TN_count,473,209,310,8,1000
removed_TN_mean,45.317689683505705,169.20580695358638,175.85069012339255,37.01777854125118,111.60913704017946
removed_TN_std,84.61058961087177,229.77335124271028,299.7861981542112,50.04017837519728,215.15244530147086
removed_TN_min,0.001858742262087938,0.11600305513564227,0.020755898524761562,0.5339216726885175,0.001858742262087938
removed_TN_p25,8.967239476183524,31.309432027360053,27.144867655557643,12.145170186704993,15.274713546335581
removed_TN_p50,22.69762166971141,88.40546549176662,85.5363765689386,24.98242138203755,39.86965298051197
removed_TN_p75,45.850017264689455,205.68367351810136,200.25107631194015,31.579608765385615,116.88316891073102
removed_TN_max,1091.7493220477443,1597.0435093962553,2726.640313541209,157.49990190936717,2726.640313541209
treated_TP_count,473,209,310,8,1000
treated_TP_mean,53.53241039278051,52.045198463234286,52.72922814448867,10.16613576800767,52.6256664055367
treated_TP_std,103.41554365556122,99.48051168995292,88.89104599020432,11.002927060053588,97.84316486839587
treated_TP_min,0.0013265437111699971,0.017601432119177154,0.019754444636211937,0.5970758460518435,0.0013265437111699971
treated_TP_p25,6.287037081411276,5.416200895110469,5.308476132484571,2.0562194168337533,5.553449436887633
treated_TP_p50,18.342885215246866,18.871802363062404,17.7033851077377,4.56211115093836,18.03029952963321
treated_TP_p75,53.712112523471156,51.49786288681118,53.769791554838775,17.9348941433826,52.86192516551124
treated_TP_max,982.6071119088673,858.8631628827926,555.02676044136,28.836915496958564,982.6071119088673
removed_TP_count,473,209,310,8,1000
removed_TP_mean,8.64787383923538,8.165543806870774,10.768080457224926,3.141780626339443,9.16028216834477
removed_TP_std,20.24441376731491,14.463411984942072,20.872923246312947,3.8880800659718893,19.3256443190084
removed_TP_min,5.133595338362688e-05,0.0008124136099781807,0.006258736755680771,0.04554389348418407,5.133595338362688e-05
removed_TP_p25,0.6916159586323065,0.7184141632235249,1.1210681200795323,0.5007555980025207,0.7504963939864289
removed_TP_p50,2.429815865256517,2.458965119242943,3.791014627007195,1.1467601362271795,2.6560911746508378
removed_TP_p75,7.658446283538949,8.04869536307913,11.828596172175935,4.984702721260621,8.52984549229866
