pid,probability
1,0.000372995
2,0.000372995
3,0.000372995
4,0.000372995
5,0.000372995
6,0.000372995
7,0.000372995
8,0.000372995
9,0.000372995
10,0.000372995
11,0.000372995
12,0.000372995
13,0.000372995
14,0.000372995
15,0.000372995
16,0.000372995
17,0.000372995
18,0.000372995
19,0.000372995
20,0.000372995
21,0.000372995
22,0.000372995
23,0.000372995
24,0.000372995
25,0.000372995
26,0.000372995
27,0.000372995
28,0.000372995
29,0.000372995
30,0.000372995
31,0.000372995
32,0.000372995
33,0.000372995
34,0.000372995
35,0.000372995
36,0.000372995
37,0.000372995
38,0.000372995
39,0.000372995
40,0.000372995
41,0.000372995
42,0.000372995
43,0.000372995
44,0.000372995
45,0.000372995
46,0.000372995
47,0.000372995
48,0.000372995
49,0.000372995
50,0.000372995
51,0.000372995
52,0.000372995
53,0.000372995
54,0.000372995
55,0.000372995
56,0.000372995
57,0.000372995
58,0.000372995
59,0.000372995
60,0.000372995
61,0.000372995
62,0.000372995
63,0.000372995
64,0.000372995
65,0.000372995
66,0.000372995
67,0.000372995
68,0.000372995
69,0.000372995
70,0.000372995
71,0.000372995
72,0.000372995
73,0.000372995
74,0.000372995
75,0.000372995
76,0.000372995
77,0.000372995
78,0.000372995
79,0.000372995
80,0.000372995
81,0.000372995
82,0.000372995
83,0.000372995
84,0.000372995
85,0.000372995
86,0.000372995
87,0.000372995
88,0.000372995
89,0.000372995
90,0.000372995
91,0.000372995
92,0.000372995
93,0.000372995
94,0.000372995
95,0.000372995
96,0.000372995
97,0.000372995
98,0.000372995
99,0.000372995
100,0.000372995
101,0.000372995
102,0.000372995
103,0.000372995
104,0.000372995
105,0.000372995
106,0.000372995
107,0.000372995
108,0.000372995
109,0.000372995
110,0.000372995
111,0.000372995
112,0.000372995
113,0.000372995
114,0.000372995
115,0.000372995
116,0.000372995
117,0.000372995
118,0.000372995
119,0.000372995
120,0.000372995
121,0.000372995
122,0.000372995
123,0.000372995
124,0.000372995
125,0.000372995
126,0.000372995
127,0.000372995
128,0.000372995
129,0.000372995
130,0.000372995
131,0.000372995
132,0.000372995
133,0.000372995
134,0.000372995
135,0.000372995
136,0.000372995
137,0.000372995
138,0.000372995
139,0.000372995
140,0.000372995
141,0.000372995
142,0.000372995
143,0.000372995
144,0.000372995
145,0.000372995
146,0.000372995
147,0.000372995
148,0.000372995
149,0.000372995
150,0.000372995
151,0.000372995
152,0.000372995
153,0.000372995
154,0.000372995
155,0.000372995
156,0.000372995
157,0.000372995
158,0.000372995
159,0.000372995
160,0.000372995
161,0.000372995
162,0.000372995
163,0.000372995
164,0.000372995
165,0.000372995
166,0.000372995
167,0.000372995
168,0.000372995
169,0.000372995
170,0.000372995
171,0.000372995
172,0.000372995
173,0.000372995
174,0.000372995
175,0.000372995
176,0.000372995
177,0.000372995
178,0.000372995
179,0.000372995
180,0.000372995
181,0.000372995
182,0.000372995
183,0.000372995
184,0.000372995
185,0.000372995
186,0.000372995
187,0.000372995
188,0.000372995
189,0.000372995
190,0.000372995
191,0.000372995
192,0.000372995
193,0.000372995
194,0.000372995
195,0.000372995
196,0.000372995
197,0.000372995
198,0.000372995
199,0.000372995
200,0.000372995
201,0.000372995
202,0.000372995
203,0.000372995
204,0.000372995
205,0.000372995
206,0.000372995
207,0.000372995
208,0.000372995
209,0.000372995
210,0.000372995
211,0.000372995
212,0.000372995
213,0.000372995
214,0.000372995
215,0.000372995
216,0.000372995
217,0.000372995
218,0.000372995
219,0.000372995
220,0.000372995
221,0.000372995
222,0.000372995
223,0.000372995
224,0.000372995
225,0.000372995
226,0.000372995
227,0.000372995
228,0.000372995
229,0.000372995
230,0.000372995
231,0.000372995
232,0.000372995
233,0.000372995
234,0.000372995
235,0.000372995
236,0.000372995
237,0.000372995
238,0.000372995
239,0.000372995
240,0.000372995
241,0.000372995
242,0.000372995
243,0.000372995
244,0.000372995
245,0.000372995
246,0.000372995
247,0.000372995
248,0.000372995
249,0.000372995
250,0.000372995
251,0.000372995
252,0.000372995
253,0.000372995
254,0.000372995
255,0.000372995
256,0.000372995
257,0.000372995
258,0.000372995
259,0.000372995
260,0.000372995
261,0.000372995
262,0.000372995
263,0.000372995
264,0.000372995
265,0.000372995
266,0.000372995
267,0.000372995
268,0.000372995
269,0.000372995
270,0.000372995
271,0.000372995
272,0.000372995
273,0.000372995
274,0.000372995
275,0.000372995
276,0.000372995
277,0.000372995
278,0.000372995
279,0.000372995
280,0.000372995
281,0.000372995
282,0.000372995
283,0.000372995
284,0.000372995
285,0.000372995
286,0.000372995
287,0.000372995
288,0.000372995
289,0.000372995
290,0.000372995
291,0.000372995
292,0.000372995
293,0.000372995
294,0.000372995
295,0.000372995
296,0.000372995
297,0.000372995
298,0.000372995
299,0.000372995
300,0.000372995
301,0.000372995
302,0.000372995
303,0.000372995
304,0.000372995
305,0.000372995
306,0.000372995
307,0.000372995
308,0.000372995
309,0.000372995
310,0.000372995
311,0.000372995
312,0.000372995
313,0.000372995
314,0.000372995
315,0.000372995
316,0.000372995
317,0.000372995
318,0.000372995
319,0.000372995
320,0.000372995
321,0.000372995
322,0.000372995
323,0.000372995
324,0.000372995
325,0.000372995
326,0.000372995
327,0.000372995
328,0.000372995
329,0.000372995
330,0.000372995
331,0.000372995
332,0.000372995
333,0.000372995
334,0.000372995
335,0.000372995
336,0.000372995
337,0.000372995
338,0.000372995
339,0.000372995
340,0.000372995
341,0.000372995
342,0.000372995
343,0.000372995
344,0.000372995
345,0.000372995
346,0.000372995
347,0.000372995
348,0.000372995
349,0.000372995
350,0.000372995
351,0.000372995
352,0.000372995
